name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
KRAINIK,133114,117,0.04,89029.20,99.00,0.00,0.00,0.00,0.00,0.00
KREBEL,133114,117,0.04,89029.24,99.15,(S),0.00,0.00,0.00,(S)
KREINBERG,133114,117,0.04,89029.29,95.73,0.00,4.27,0.00,0.00,0.00
KREML,133114,117,0.04,89029.33,97.44,(S),0.00,0.00,0.00,(S)
KRIMMINGER,133114,117,0.04,89029.37,99.15,(S),0.00,0.00,0.00,(S)
KRISSINGER,133114,117,0.04,89029.42,99.00,0.00,0.00,0.00,0.00,0.00
KRYSTON,133114,117,0.04,89029.46,99.15,0.00,(S),0.00,0.00,(S)
KRZECZKOWSKI,133114,117,0.04,89029.50,95.73,0.00,(S),0.00,(S),0.00
KURZHAL,133114,117,0.04,89029.55,97.44,0.00,0.00,0.00,(S),(S)
KUSMAN,133114,117,0.04,89029.59,90.60,(S),(S),0.00,4.27,0.00
LABB,133114,117,0.04,89029.63,93.16,(S),0.00,(S),(S),(S)
LAFAVRE,133114,117,0.04,89029.68,96.58,(S),0.00,0.00,0.00,(S)
LAFEBRE,133114,117,0.04,89029.72,30.77,0.00,(S),(S),0.00,67.52
LAHNA,133114,117,0.04,89029.76,99.00,0.00,0.00,0.00,0.00,0.00
LAIDMAN,133114,117,0.04,89029.81,94.02,(S),0.00,0.00,(S),(S)
LAISE,133114,117,0.04,89029.85,95.73,0.00,0.00,0.00,(S),(S)
LALINDE,133114,117,0.04,89029.89,21.37,0.00,0.00,0.00,0.00,78.63
LANDESBERG,133114,117,0.04,89029.94,97.44,0.00,(S),0.00,(S),0.00
LANGDELL,133114,117,0.04,89029.98,90.60,(S),0.00,7.69,0.00,(S)
LANKE,133114,117,0.04,89030.02,95.73,(S),0.00,(S),0.00,(S)
LASHBAUGH,133114,117,0.04,89030.07,94.87,0.00,(S),0.00,(S),(S)
LAURETANO,133114,117,0.04,89030.11,92.31,(S),0.00,0.00,(S),5.13
LAUTERMILCH,133114,117,0.04,89030.15,98.29,0.00,0.00,(S),(S),0.00
LAYON,133114,117,0.04,89030.20,38.46,4.27,44.44,(S),(S),11.11
LECKINGER,133114,117,0.04,89030.24,95.73,0.00,(S),0.00,(S),(S)
LEELAND,133114,117,0.04,89030.28,94.02,(S),(S),0.00,0.00,4.27
LEIP,133114,117,0.04,89030.33,94.02,0.00,(S),0.00,(S),(S)
LEIVAN,133114,117,0.04,89030.37,88.89,(S),0.00,(S),5.13,4.27
LEKER,133114,117,0.04,89030.41,95.73,0.00,(S),0.00,(S),(S)
LEONESIO,133114,117,0.04,89030.46,92.31,(S),0.00,0.00,4.27,(S)
LESTINGI,133114,117,0.04,89030.50,94.87,0.00,(S),0.00,(S),(S)
LETE,133114,117,0.04,89030.54,69.23,(S),14.53,(S),5.13,10.26
LEVENSAILOR,133114,117,0.04,89030.59,99.15,0.00,0.00,(S),0.00,(S)
LEWANSKI,133114,117,0.04,89030.63,92.31,(S),(S),0.00,0.00,(S)
LIBERAL,133114,117,0.04,89030.67,6.84,54.70,11.97,0.00,17.09,9.40
LIBRERA,133114,117,0.04,89030.72,92.31,(S),0.00,(S),4.27,(S)
LIDDON,133114,117,0.04,89030.76,95.73,(S),0.00,0.00,(S),(S)
LIFSCHITZ,133114,117,0.04,89030.80,84.62,0.00,(S),0.00,(S),11.11
LILIENFELD,133114,117,0.04,89030.85,94.02,(S),0.00,0.00,(S),5.13
LIPAROTO,133114,117,0.04,89030.89,95.73,(S),0.00,(S),(S),(S)
LOCANO,133114,117,0.04,89030.93,28.21,(S),0.00,(S),(S),67.52
LOESSIN,133114,117,0.04,89030.98,99.00,0.00,0.00,0.00,0.00,0.00
LOHSEN,133114,117,0.04,89031.02,99.00,0.00,0.00,0.00,0.00,0.00
LOPANE,133114,117,0.04,89031.06,98.29,0.00,0.00,0.00,(S),(S)
LOPEZMORALES,133114,117,0.04,89031.11,(S),(S),0.00,0.00,(S),95.73
LOSTAUNAU,133114,117,0.04,89031.15,12.82,0.00,0.00,0.00,0.00,87.18
LOTARSKI,133114,117,0.04,89031.19,99.00,0.00,0.00,0.00,0.00,0.00
LOUDIS,133114,117,0.04,89031.24,94.87,0.00,0.00,(S),(S),(S)
LOUREIRD,133114,117,0.04,89031.28,64.96,0.00,(S),(S),5.13,27.35
LUNDIEN,133114,117,0.04,89031.32,90.60,(S),(S),0.00,0.00,5.98
