name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
WASYLYK,94676,179,0.07,86972.93,99.00,0.00,0.00,0.00,0.00,0.00
WAUPOOSE,94676,179,0.07,86973.00,5.03,(S),0.00,86.03,8.38,(S)
WEIX,94676,179,0.07,86973.07,97.21,(S),0.00,0.00,(S),(S)
WERNZ,94676,179,0.07,86973.13,97.21,0.00,(S),0.00,(S),0.00
WHITHEAD,94676,179,0.07,86973.20,58.10,38.55,(S),0.00,(S),(S)
WIERSON,94676,179,0.07,86973.27,99.44,0.00,(S),0.00,0.00,(S)
WILSMAN,94676,179,0.07,86973.33,97.77,0.00,(S),0.00,0.00,(S)
WINGEN,94676,179,0.07,86973.40,98.88,0.00,0.00,0.00,(S),(S)
WIRFS,94676,179,0.07,86973.47,91.62,(S),(S),(S),4.47,(S)
WOELLERT,94676,179,0.07,86973.53,96.09,0.00,0.00,(S),(S),(S)
WOLOSHIN,94676,179,0.07,86973.60,97.21,0.00,(S),0.00,(S),(S)
WOOLHEATER,94676,179,0.07,86973.66,93.85,0.00,(S),0.00,(S),3.91
YEMM,94676,179,0.07,86973.73,99.00,0.00,0.00,0.00,0.00,0.00
ZAHR,94676,179,0.07,86973.80,91.06,0.00,(S),0.00,7.82,(S)
ZEIBER,94676,179,0.07,86973.86,96.09,(S),(S),0.00,0.00,2.79
ZEKAS,94676,179,0.07,86973.93,98.88,(S),0.00,0.00,0.00,(S)
ZOLLAR,94676,179,0.07,86974.00,78.21,20.11,0.00,(S),(S),0.00
AJMERI,95091,178,0.07,86974.06,(S),0.00,94.94,(S),0.00,(S)
ALADIN,95091,178,0.07,86974.13,7.87,47.19,23.03,0.00,17.98,3.93
ALATI,95091,178,0.07,86974.19,76.97,15.73,(S),(S),2.81,3.37
ALCOVER,95091,178,0.07,86974.26,17.98,(S),10.11,(S),3.37,67.98
ALEKSIC,95091,178,0.07,86974.33,89.89,(S),0.00,0.00,8.43,(S)
ALKEN,95091,178,0.07,86974.39,71.91,26.40,0.00,0.00,(S),(S)
ALLEMANN,95091,178,0.07,86974.46,96.07,0.00,(S),(S),(S),0.00
ALLMANN,95091,178,0.07,86974.52,95.51,(S),0.00,0.00,2.81,(S)
ALMES,95091,178,0.07,86974.59,86.52,6.74,(S),(S),(S),3.37
ALSWORTH,95091,178,0.07,86974.66,74.16,13.48,0.00,(S),8.43,(S)
ANDRASCIK,95091,178,0.07,86974.72,99.00,0.00,0.00,0.00,0.00,0.00
ANGIULO,95091,178,0.07,86974.79,98.31,(S),0.00,0.00,0.00,(S)
ANWEILER,95091,178,0.07,86974.85,95.51,2.81,(S),0.00,0.00,(S)
ARBLASTER,95091,178,0.07,86974.92,97.75,(S),0.00,0.00,0.00,(S)
ARDALAN,95091,178,0.07,86974.99,88.20,(S),(S),0.00,8.43,2.81
